,MES_CORTE,ID,LINEA_TC,TIPO_FLUJO_TC,INGRESO_BRUTO,EDAD,SEXO,SIT_LAB,DEPARTAMENTO,FLG_SEGURO,CLI_AHOCRED,CLI_CTS,CLI_FM,CLI_MILL,CLI_PLA,CLI_TXS,NRO_PAS_PBK,EMP_REP_PP_PBK,EMP_REP_CONV_PBK,EMP_REP_VEH_PBK,EMP_REP_HIP_PBK,CLF_SBS,FLG_BANCARIZADO,EMP_REP_TC_SF,EMP_REP_PP_SF,EMP_REP_CONV_SF,EMP_REP_VEH_SF,EMP_REP_HIP_SF,SALDO_TC_SF,SALDO_PP_SF,SALDO_CONV_SF,SALDO_VEH_SF,SALDO_HIP_SF,SALDO_TCSF_UU6,MAX_SALDO_TCSF_U6,MIN_SALDO_TCSF_U6,MAX_LINEA_TCSF,MIN_LINEA_TCSF,LINEA_TOT_TCSF,MAX_SALTC_SF_UM,MIN_SALTC_SF_UM,SALDO_SF_UM,NRO_ENT_REP_TOT_U6,NRO_ENT_REP_SAL_TOT_U6,PORC_ENT_REP_SAL,NRO_ENT_REP_TOT_UM,NRO_ENT_REP_SAL_TOT_UM,IND_MAXLIN_ING,IND_LINIBK_ING,IND_DEU_ING,PROB_CONT,CAMP_TOT,PROM_CAMP,RECENCIA_CAMP,NRO_CAMP_TC,CAMP_TC_U6,TARGET_XF
0,201601,140047205,12700,100APRO,3000,23,F,DEPENDIENTE,LIMA,0,0,0,0,0,0,1,1,0,0,0,0,0.0,1,1,0,0,0,0,1423.84,0.0,0.0,0.0,0.0,466.5216667,466.5216667,466.5216667,15900.0,15900.0,15900.0,1423.84,1423.84,1423.84,1.0,1.0,1.0,1,1,5.3,4.233333333,0.474613333,0.258981529,6.0,1.0,1.0,6,1.0,1
1,201601,95213913,1000,FAST2,1200,23,M,DEPENDIENTE,AREQUIPA,0,0,0,0,0,0,1,1,0,0,0,0,0.0,1,1,1,0,0,0,608.73,4156.13,0.0,0.0,0.0,598.165,598.165,598.165,2400.0,2400.0,2400.0,608.73,608.73,608.73,1.0,1.0,1.0,1,1,2.0,0.833333333,3.970716667,0.18579993,2.0,0.333333333,5.0,2,0.333333333,1
2,201601,85772035,1250,REG1,0,31,M,0,PUNO,0,0,0,0,0,0,1,1,0,0,0,0,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.318946102,,,,0,0.0,1
3,201601,21212645,6400,REG1,8513,43,M,MIXTO,LIMA,0,0,0,0,0,0,1,1,0,1,0,0,0.0,1,1,1,1,0,0,3664.93,6102.55,38227.24,0.0,0.0,4669.956667,4669.956667,4669.956667,5000.0,5000.0,5000.0,3664.93,3664.93,3664.93,1.0,1.0,1.0,1,1,0.5873370139999999,0.751791378,5.6378151060000015,0.491040703,1.0,0.166666667,6.0,1,0.166666667,1
4,201601,51417425,1800,REG1,2176,45,M,INDEPENDIENTE,CALLAO,0,0,0,0,0,0,1,1,0,0,0,0,0.0,1,1,0,0,0,0,1085.14,0.0,0.0,0.0,0.0,1643.448333,1643.448333,1643.448333,2000.0,2000.0,2000.0,1085.14,1085.14,1085.14,1.0,1.0,1.0,1,1,0.919117647,0.827205882,0.498685662,0.397216199,,,,0,0.0,1
5,201601,95651863,1500,REG1,2236,22,F,DEPENDIENTE,LIMA,0,0,0,0,0,1,0,1,0,0,0,0,0.0,1,1,0,0,0,0,110.5,0.0,0.0,0.0,0.0,159.96333330000004,159.96333330000004,159.96333330000004,500.0,500.0,500.0,110.5,110.5,110.5,1.0,0.666666667,0.666666667,1,1,0.223613596,0.670840787,0.049418605,0.477223822,3.0,0.5,1.0,3,0.5,1
6,201601,140988835,1500,100APRO,1500,23,M,INDEPENDIENTE,LIMA,0,0,0,0,0,0,1,1,0,0,0,0,0.0,1,1,0,0,0,0,488.54,0.0,0.0,0.0,0.0,447.7783333,447.7783333,447.7783333,1800.0,1800.0,1800.0,488.54,488.54,488.54,1.0,1.0,1.0,1,1,1.2,1.0,0.325693333,0.128264085,6.0,1.0,1.0,6,1.0,1
7,201601,15140131,2400,FAST1,2395,51,M,INDEPENDIENTE,LIMA,0,0,0,0,0,0,1,1,0,0,0,0,0.0,1,1,0,0,0,0,98.8,0.0,0.0,0.0,0.0,240.0133333,240.0133333,240.0133333,1383.32,1383.32,1383.32,98.8,98.8,98.8,1.0,1.0,1.0,1,1,0.577586639,1.002087683,0.04125261,0.171320906,,,,0,0.0,1
8,201601,95237389,1700,REG2,2089,23,M,DEPENDIENTE,LIMA,0,0,0,0,0,0,1,1,0,0,0,0,0.0,1,2,1,0,0,0,5151.81,2384.31,0.0,0.0,0.0,4855.2425,5124.97,4585.515,3700.0,3700.0,7400.0,3428.07,1723.74,5151.81,1.666666667,1.666666667,1.0,2,2,1.771182384,0.8137865009999999,3.607525132,0.415284921,1.0,0.166666667,6.0,1,0.166666667,1
9,201601,82869629,5800,FAST1,1798,35,M,INDEPENDIENTE,JUNIN,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1,2,0,0,0,0,116.49,0.0,0.0,0.0,0.0,5484.699583,6547.3625,4422.036667,624.6,500.0,1124.6,116.49,0.0,116.49,3.333333333,2.5,0.708333333,2,1,0.347385984,3.225806452,0.064788654,0.555393806,1.0,0.166666667,1.0,1,0.166666667,1
10,201601,84329167,2000,FAST1,1132,32,M,MIXTO,LIMA,0,0,0,0,0,0,1,1,0,0,0,0,0.0,1,1,0,0,0,0,2160.67,0.0,0.0,0.0,0.0,1211.22,1211.22,1211.22,7100.0,7100.0,7100.0,2160.67,2160.67,2160.67,1.0,0.75,0.75,1,1,6.2720848060000005,1.7667844519999998,1.908719081,0.415470279,6.0,1.0,1.0,6,1.0,1
11,201601,88552321,22000,FAST1,5587,28,M,MIXTO,LIMA,1,0,1,0,0,0,1,2,1,0,0,0,0.0,1,1,1,0,0,0,0.0,19686.63,0.0,0.0,0.0,2914.481667,3818.863333,2010.1,14000.0,14000.0,14000.0,0.0,0.0,0.0,1.5,1.333333333,0.833333333,1,0,2.505817075,3.937712547,3.523649544,0.536149385,,,,0,0.0,1
12,201601,35941493,1800,FAST1,1665,68,M,INDEPENDIENTE,LA LIBERTAD,0,0,1,0,0,1,0,2,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,1.081081081,0.0,0.452240701,5.0,0.833333333,1.0,5,0.833333333,1
13,201601,88190843,6600,100APRO,3136,28,M,DEPENDIENTE,ICA,0,0,0,0,0,0,1,1,0,0,0,0,0.0,1,2,1,0,0,0,3915.7,7408.1,0.0,0.0,0.0,4528.703333,4528.703333,4528.703333,10900.0,3000.0,13900.0,2778.19,1137.51,3915.7,2.0,2.0,1.0,2,2,3.4757653060000004,2.104591837,3.610905612,0.413239562,5.0,0.833333333,1.0,5,0.833333333,1
14,201601,16065035,1000,REG1,1382,63,F,INDEPENDIENTE,LIMA,0,0,0,0,0,0,1,1,0,0,0,0,0.0,1,2,0,0,0,0,2446.11,0.0,0.0,0.0,0.0,2091.903333,2091.903333,2091.903333,2600.0,8.99,2608.99,2437.12,8.99,2446.11,2.0,2.0,1.0,2,2,1.881331404,0.7235890009999999,1.7699782919999998,0.210540838,1.0,0.166666667,6.0,1,0.166666667,1
15,201601,13284777,1800,REG1,2129,63,M,INDEPENDIENTE,LIMA,0,0,0,0,0,0,1,1,0,0,0,0,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.8454673559999999,0.0,0.290404457,1.0,0.166666667,6.0,1,0.166666667,1
16,201601,94356493,1300,FAST2,1377,24,F,INDEPENDIENTE,LIMA,0,0,0,0,1,0,1,2,0,0,0,0,0.0,1,1,0,0,0,0,5668.01,0.0,0.0,0.0,0.0,8125.4540000000015,8125.4540000000015,8125.4540000000015,11100.0,11100.0,11100.0,5668.01,5668.01,5668.01,1.0,1.0,1.0,1,1,8.061002178999999,0.944081336,4.116201888,0.224510649,,,,0,0.0,1
17,201601,93508603,3840,REG1,0,25,F,DEPENDIENTE,LIMA,0,0,0,0,1,1,0,2,0,0,0,0,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.394442066,,,,0,0.0,1
18,201601,14984715,1044,FAST,0,42,F,INDEPENDIENTE,LIMA,0,0,0,0,0,0,1,1,0,0,0,0,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.274955117,1.0,0.166666667,6.0,1,0.166666667,1
19,201601,160815515,1000,FAST2,1396,36,M,INDEPENDIENTE,LIMA,0,0,0,0,0,0,1,1,0,0,0,0,0.0,1,1,1,0,0,0,310.41,1130.1,0.0,0.0,0.0,436.1366666999999,436.1366666999999,436.1366666999999,1000.0,1000.0,1000.0,310.41,310.41,310.41,1.0,1.0,1.0,1,1,0.7163323779999999,0.7163323779999999,1.031883954,0.405304235,,,,0,0.0,1
20,201601,88933075,1300,REG2,1132,28,M,MIXTO,PIURA,0,0,1,0,0,0,1,2,0,0,0,0,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,1.148409894,0.0,0.362404194,1.0,0.166666667,6.0,1,0.166666667,1
21,201601,90063293,1000,REG1,1386,27,F,MIXTO,LA LIBERTAD,0,0,0,0,0,0,1,1,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.721500722,0.0,0.361368279,,,,0,0.0,1
22,201601,14522381,20600,FAST1,12668,44,M,INDEPENDIENTE,LIMA,0,0,0,0,0,0,1,1,0,0,0,0,0.0,1,6,1,0,0,0,62787.03,121455.6271,0.0,0.0,0.0,70239.17167000001,70239.17167000001,70239.17167000001,61596.0,5000.0,200819.51,56714.28,0.0,62787.03,6.0,4.5,0.75,6,4,4.862330281,1.626144616,14.54394199,0.5029523379999999,,,,0,0.0,1
23,201601,85805595,1200,FAST1,1254,32,F,INDEPENDIENTE,LIMA,0,0,0,0,0,0,1,1,0,0,0,0,0.0,1,2,0,0,0,0,304.24,0.0,0.0,0.0,0.0,110.3616667,110.3616667,110.3616667,400.0,400.0,800.0,304.24,0.0,304.24,2.0,0.333333333,0.166666667,2,1,0.318979266,0.956937799,0.24261563,0.350096334,6.0,1.0,1.0,6,1.0,1
24,201601,91214049,1300,FAST2,1442,26,M,MIXTO,LIMA,0,0,0,0,0,0,1,1,0,0,0,0,0.0,1,2,1,0,0,0,875.82,1320.67,0.0,0.0,0.0,500.6116667,500.6116667,500.6116667,1735.0,1000.0,2735.0,875.82,0.0,875.82,2.0,1.0,0.5,2,1,1.203190014,0.901525659,1.5232246880000002,0.273456914,6.0,1.0,1.0,6,1.0,1
25,201601,92834103,4100,FAST1,1494,25,M,DEPENDIENTE,CUSCO,0,0,0,0,0,0,1,1,0,0,0,0,0.0,1,1,0,0,0,0,217.09,0.0,0.0,0.0,0.0,555.386,555.386,555.386,3900.0,3900.0,3900.0,217.09,217.09,217.09,1.0,0.8,0.8,1,1,2.610441767,2.744310576,0.145307898,0.02259745,5.0,0.833333333,2.0,5,0.833333333,1
26,201601,15238369,3000,FAST1,3252,47,M,DEPENDIENTE,LIMA,0,0,0,0,0,0,1,1,0,0,0,0,0.0,1,2,0,0,0,0,5362.16,0.0,0.0,0.0,0.0,9127.256667,9127.256667,9127.256667,6700.0,3000.0,9700.0,2986.5,2375.66,5362.16,2.0,2.0,1.0,2,2,2.060270603,0.922509225,1.648880689,0.40703804,1.0,0.166666667,6.0,1,0.166666667,1
27,201601,83155129,2100,FAST1,1150,34,M,DEPENDIENTE,LIMA,1,0,0,0,0,1,0,1,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,1.826086957,0.0,0.289563808,,,,0,0.0,1
28,201601,18973079,12000,FAST1,3803,46,F,DEPENDIENTE,LIMA,0,0,0,0,0,1,1,2,0,0,0,0,0.0,1,1,0,0,0,0,169.8,0.0,0.0,0.0,0.0,84.9,84.9,84.9,1662.24,1662.24,1662.24,169.8,169.8,169.8,1.0,0.5,0.5,1,1,0.437086511,3.155403629,0.044648961,0.397641476,,,,0,0.0,1
29,201601,36427577,1000,REG1,1268,37,F,INDEPENDIENTE,LA LIBERTAD,0,0,0,0,0,0,1,1,0,0,0,0,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.788643533,0.0,0.349811544,6.0,1.0,1.0,6,1.0,1
30,201601,88598933,1400,FAST2,1679,28,F,INDEPENDIENTE,LIMA,0,0,0,0,0,0,1,1,0,0,0,0,0.0,1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,500.0,500.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0,0.297796307,0.8338296609999999,0.0,0.339356823,,,,0,0.0,1
31,201601,15375123,4700,FAST1,4025,46,M,MIXTO,LIMA,0,0,0,1,0,0,1,2,0,0,0,0,0.0,1,1,0,0,0,1,0.0,0.0,0.0,0.0,123468.5978,0.0,0.0,0.0,300.0,300.0,300.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0,0.074534161,1.167701863,30.67542803,0.405582714,,,,0,0.0,1
32,201601,87648581,1500,FAST1,1500,29,M,INDEPENDIENTE,ICA,0,0,1,0,0,0,0,1,0,0,0,0,0.0,1,1,0,0,0,0,2530.15,0.0,0.0,0.0,0.0,922.4583332999996,922.4583332999996,922.4583332999996,4426.65,4426.65,4426.65,2530.15,2530.15,2530.15,1.0,0.5,0.5,1,1,2.9511,1.0,1.686766667,0.183133269,6.0,1.0,1.0,6,1.0,1
33,201601,891439,7000,100APRO,0,44,M,INDEPENDIENTE,TACNA,0,0,0,0,1,0,0,1,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.187648986,4.0,0.666666667,1.0,4,0.666666667,1
34,201601,160749653,1000,REG1,1418,37,M,INDEPENDIENTE,LIMA,0,0,0,0,0,0,1,1,0,0,0,0,0.0,1,2,1,0,0,0,682.58,383.21,0.0,0.0,0.0,682.58,682.58,682.58,2062.4,900.0,2962.4,489.88,192.7,682.58,2.0,2.0,1.0,2,2,1.454442877,0.705218618,0.751614951,0.25099966,,,,0,0.0,1
35,201601,15038979,4700,FAST1,0,39,F,0,LIMA,0,0,0,0,0,0,1,1,0,0,0,0,0.0,1,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,967.8633333,967.8633333,967.8633333,1300.0,900.0,2200.0,0.0,0.0,0.0,2.0,1.0,0.5,2,0,0.0,0.0,0.0,0.226005211,,,,0,0.0,1
36,201601,84058999,1000,REG1,1544,33,M,INDEPENDIENTE,AREQUIPA,0,0,0,0,0,0,1,1,0,0,0,0,0.0,1,0,1,0,0,0,0.0,2421.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.647668394,1.568141192,0.132276845,2.0,0.333333333,2.0,2,0.333333333,1
37,201601,89463777,2800,FAST1,2783,28,M,MIXTO,CAJAMARCA,0,0,0,0,0,0,0,0,1,0,0,0,0.0,1,3,0,0,0,0,1534.53,10860.45,0.0,0.0,0.0,1769.388333,1769.388333,1769.388333,2000.0,600.0,3300.0,934.53,0.0,1534.53,3.0,1.666666667,0.5555555560000001,3,2,0.71864894,1.0061085159999998,4.453819619,0.316701556,,,,0,0.0,1
38,201601,82233663,1100,FAST1,0,34,F,INDEPENDIENTE,LAMBAYEQUE,0,0,0,0,0,0,1,1,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.096861158,,,,0,0.0,1
39,201601,59083241,1200,FAST1,1382,48,F,INDEPENDIENTE,AREQUIPA,0,0,0,0,0,0,1,1,0,0,0,0,0.0,1,1,1,0,0,0,164.85,8955.56,0.0,0.0,0.0,171.405,171.405,171.405,500.0,500.0,500.0,164.85,164.85,164.85,1.0,0.833333333,0.833333333,1,1,0.361794501,0.868306802,6.599428365,0.250510555,,,,0,0.0,1
40,201601,12630031,5800,FAST1,1669,46,F,INDEPENDIENTE,AREQUIPA,0,0,0,1,1,0,0,2,0,0,0,0,0.0,1,1,0,0,0,0,2776.33,0.0,0.0,0.0,0.0,7430.36,7430.36,7430.36,30000.0,30000.0,30000.0,2776.33,2776.33,2776.33,1.0,1.0,1.0,1,1,17.97483523,3.475134811,1.663469143,0.224108841,,,,0,0.0,1
41,201601,18619231,2800,FAST1,2783,48,F,MIXTO,LIMA,0,0,0,0,0,0,1,1,0,0,0,0,0.0,1,4,1,0,0,0,3850.76,470.21,0.0,0.0,0.0,2850.805,2850.805,2850.805,2671.9,1380.0,7757.44,2005.54,0.0,3850.76,4.0,3.0,0.75,4,3,0.960079051,1.0061085159999998,1.552630255,0.185773864,2.0,0.333333333,1.0,2,0.333333333,1
42,201601,94831431,1500,FAST1,1500,23,F,MIXTO,LIMA,0,0,1,0,0,1,0,2,0,0,0,0,0.0,1,1,0,0,0,0,365.4,0.0,0.0,0.0,0.0,273.1816667,273.1816667,273.1816667,2000.0,2000.0,2000.0,365.4,365.4,365.4,1.0,1.0,1.0,1,1,1.333333333,1.0,0.2436,0.285368833,6.0,1.0,1.0,6,1.0,1
43,201601,87511323,1500,REG1,1798,29,F,DEPENDIENTE,LIMA,0,0,0,0,0,0,1,1,0,0,0,0,0.0,1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,1500.0,1500.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0,0.834260289,0.834260289,0.0,0.289551797,1.0,0.166666667,6.0,1,0.166666667,1
44,201601,65811713,1300,REG1,1498,48,M,INDEPENDIENTE,ANCASH,0,0,0,0,0,0,1,1,0,0,0,0,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.867823765,0.0,0.305148964,,,,0,0.0,1
45,201601,86565617,18700,FAST1,5930,41,M,DEPENDIENTE,LIMA,0,0,1,0,0,1,0,2,0,0,0,0,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,3.153456998,0.0,0.564431369,,,,0,0.0,1
46,201601,88700273,1700,FAST1,1619,28,M,INDEPENDIENTE,UCAYALI,0,0,0,0,0,0,1,1,0,0,0,0,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,1.050030883,0.0,0.245520064,1.0,0.166666667,6.0,1,0.166666667,1
47,201601,85701531,12800,FAST1,3294,30,F,MIXTO,LIMA,0,0,0,0,0,0,0,0,1,0,0,0,0.0,1,2,2,0,0,0,4191.09,26211.25,0.0,0.0,0.0,6607.316667,6607.316667,6607.316667,9900.0,2350.0,12250.0,4191.09,0.0,4191.09,2.0,1.5,0.75,2,1,3.005464481,3.885853066,9.229611415,0.106890479,,,,0,0.0,1
48,201601,20046699,1800,FAST2,2176,41,M,MIXTO,LIMA,0,0,0,0,1,0,1,2,0,0,0,0,0.0,1,2,0,0,0,0,2482.15,0.0,0.0,0.0,0.0,2796.648056,2958.1875,2715.878333,3500.0,300.0,3800.0,2218.33,263.82,2482.15,2.666666667,2.166666667,0.833333333,2,2,1.608455882,0.827205882,1.140693934,0.256544008,1.0,0.166666667,6.0,1,0.166666667,1
49,201601,51114783,1108,REG1,0,49,M,INDEPENDIENTE,CALLAO,1,0,0,0,0,0,1,1,0,0,0,0,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.214776335,5.0,0.833333333,1.0,5,0.833333333,1
50,201601,93398083,4700,FAST1,4000,24,F,DEPENDIENTE,LIMA,0,0,0,0,0,0,1,1,0,0,0,0,0.0,1,1,0,0,0,0,4311.08,0.0,0.0,0.0,0.0,2368.13,2368.13,2368.13,13700.0,13700.0,13700.0,4311.08,4311.08,4311.08,1.0,1.0,1.0,1,1,3.425,1.175,1.07777,0.425650297,6.0,1.0,1.0,6,1.0,1
51,201601,13614445,1000,FAST2,1427,37,M,MIXTO,LIMA,0,0,0,0,0,0,1,1,0,0,0,0,0.0,1,1,0,0,0,0,340.36,0.0,0.0,0.0,0.0,458.88,458.88,458.88,1000.0,1000.0,1000.0,340.36,340.36,340.36,1.0,1.0,1.0,1,1,0.700770848,0.700770848,0.238514366,0.34830076,1.0,0.166666667,1.0,1,0.166666667,1
52,201601,82846835,1800,100APRO,1798,33,F,INDEPENDIENTE,LA LIBERTAD,0,0,0,0,0,0,1,1,0,0,0,0,0.0,1,2,0,0,0,0,1230.1,0.0,0.0,0.0,0.0,1103.608333,1103.608333,1103.608333,1500.0,1210.43,2710.43,1210.43,19.67,1230.1,2.0,2.0,1.0,2,2,0.834260289,1.001112347,0.684149055,0.441568971,,,,0,0.0,1
53,201601,31709285,1200,FAST1,1419,49,M,DEPENDIENTE,HUANUCO,0,0,1,0,0,0,1,2,0,0,0,0,0.0,1,0,2,0,0,0,0.0,957.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.845665962,0.6751092320000001,0.466620954,6.0,1.0,1.0,6,1.0,1
54,201601,92735681,1300,REG2,1500,25,F,INDEPENDIENTE,LIMA,0,0,0,0,0,1,0,1,0,0,0,0,0.0,1,1,0,0,0,0,1279.45,0.0,0.0,0.0,0.0,1291.331667,1291.331667,1291.331667,1700.0,1700.0,1700.0,1279.45,1279.45,1279.45,1.0,1.0,1.0,1,1,1.133333333,0.8666666670000001,0.852966667,0.434644686,,,,0,0.0,1
55,201601,19194225,1000,REG1,1268,43,F,MIXTO,LIMA,0,0,0,0,0,0,1,1,0,0,0,0,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.788643533,0.0,0.114154005,6.0,1.0,1.0,6,1.0,1
56,201601,17499075,11600,FAST1,2734,70,F,MIXTO,LIMA,1,0,0,1,1,0,1,3,0,0,0,0,0.0,1,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,99.17916667,158.6866667,79.34333333,15600.0,1500.0,23100.0,0.0,0.0,0.0,3.5,0.333333333,0.083333333,3,0,5.705925384,4.242867593,0.0,0.374577807,2.0,0.333333333,1.0,2,0.333333333,1
57,201601,81897845,1000,REG1,875,34,M,DEPENDIENTE,LIMA,0,0,0,0,0,0,1,1,0,0,0,0,0.0,1,1,0,0,0,0,3908.83,0.0,0.0,0.0,0.0,1442.688333,1442.688333,1442.688333,5800.0,5800.0,5800.0,3908.83,3908.83,3908.83,1.0,0.833333333,0.833333333,1,1,6.628571429,1.142857143,4.467234286,0.187197762,,,,0,0.0,1
58,201601,85107707,1700,FAST1,0,31,M,0,TACNA,0,0,0,0,0,0,1,1,0,0,0,0,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.449744276,,,,0,0.0,1
59,201601,92281547,2200,REG2,2981,26,F,MIXTO,AREQUIPA,0,0,0,0,0,0,0,0,0,0,1,0,0.0,1,1,0,0,0,0,368.26,0.0,0.0,25168.04,0.0,321.7866667,321.7866667,321.7866667,600.0,600.0,600.0,368.26,368.26,368.26,1.0,0.666666667,0.666666667,1,1,0.20127474,0.73800738,8.566353572999999,0.6044123920000001,1.0,0.166666667,1.0,1,0.166666667,1
60,201601,94152557,1000,FAST2,1377,23,F,INDEPENDIENTE,HUANUCO,0,0,0,0,0,0,1,1,0,0,0,0,0.0,1,0,1,0,0,0,0.0,96.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.726216412,0.070225127,0.0,1.0,0.166666667,1.0,1,0.166666667,1
61,201601,81836709,23400,FAST1,8811,36,M,INDEPENDIENTE,AREQUIPA,0,0,1,0,0,0,0,1,0,0,0,0,0.0,1,1,1,0,0,0,0.0,17427.22,0.0,0.0,0.0,6485.59,6485.59,6485.59,11900.0,11900.0,11900.0,0.0,0.0,0.0,1.0,0.666666667,0.666666667,1,0,1.3505844969999998,2.655771195,1.977893542,0.228455286,1.0,0.166666667,6.0,1,0.166666667,1
62,201601,85524633,2100,FAST1,2008,33,F,INDEPENDIENTE,LIMA,0,0,0,0,0,0,0,1,1,0,0,0,0.0,1,2,0,0,0,0,110.82,12516.21,0.0,0.0,0.0,1944.632833,2032.354,1856.911667,2000.0,1000.0,3000.0,110.82,0.0,110.82,1.833333333,1.666666667,0.916666667,2,1,0.996015936,1.045816733,6.288361554,0.375617408,,,,0,0.0,1
63,201601,80129743,4600,100APRO,3993,37,M,DEPENDIENTE,SAN MARTIN,0,0,0,0,0,0,1,1,1,0,0,0,0.0,1,1,1,0,0,0,0.0,6099.56,0.0,0.0,0.0,0.0,0.0,0.0,500.0,500.0,500.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0,0.125219133,1.152016028,1.527563236,0.395467797,6.0,1.0,1.0,6,1.0,1
64,201601,84488927,1000,REG1,1490,32,F,DEPENDIENTE,LIMA,0,0,1,0,0,0,0,1,0,0,0,0,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.67114094,0.0,0.47032156,1.0,0.166666667,6.0,1,0.166666667,1
65,201601,144521697,1300,REG2,1477,22,M,DEPENDIENTE,LIMA,0,0,0,0,0,0,1,1,0,0,0,0,0.0,1,2,0,0,0,0,3753.91,0.0,0.0,0.0,0.0,2177.270333,2320.654,2033.886667,3900.0,1000.0,4900.0,3753.91,0.0,3753.91,1.833333333,1.666666667,0.916666667,2,1,2.640487475,0.8801624920000001,2.541577522,0.302718252,3.0,0.5,2.0,3,0.5,1
66,201601,13437045,18400,FAST1,8118,54,M,DEPENDIENTE,LIMA,0,0,0,0,0,1,0,1,1,0,0,0,0.0,1,3,0,0,0,0,1456.65,30000.0,0.0,0.0,0.0,22012.29167,28432.17,13904.32,34500.0,300.0,45300.0,1456.65,0.0,1456.65,2.666666667,1.166666667,0.444444444,3,1,4.249815225,2.26656812,3.87492609,0.6208088,,,,0,0.0,1
